Protocol,FIN Flag Cnt,Init Bwd Win Byts,SYN Flag Cnt,Down/Up Ratio,Src Port,Dst Port,ACK Flag Cnt,Bwd Header Len,Fwd Pkt Len Min,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Label
0,0,-1,0,0,0,0,0,0,0,174.10.110.19-192.168.3.130-0-0-0,174.10.110.19,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-103.174.90.145-0-0-0,103.174.90.145,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,215,1,1,43476,80,0,144,0,192.168.3.130-200.175.2.130-80-43476-6,200.175.2.130,43476,192.168.3.130,80,6,9/1/2020 16:31,Probe
0,0,-1,0,0,0,0,0,0,0,160.208.164.252-192.168.3.130-0-0-0,160.208.164.252,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,215,1,1,43902,80,0,144,0,192.168.3.130-200.175.2.130-80-43902-6,200.175.2.130,43902,192.168.3.130,80,6,9/1/2020 16:31,Probe
17,0,-1,0,3,51392,53,0,24,36,192.168.20.133-192.168.20.2-51392-53-17,192.168.20.133,51392,192.168.20.2,53,17,4/2/2020 18:23,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-23.114.99.60-0-0-0,23.114.99.60,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,0,1,0,32736,1026,0,40,0,192.168.3.130-200.175.2.130-1026-32736-6,200.175.2.130,32736,192.168.3.130,1026,6,9/1/2020 17:41,Probe
6,0,64240,1,0,45702,443,0,124,0,185.127.17.56-192.168.20.133-443-45702-6,192.168.20.133,45702,185.127.17.56,443,6,5/2/2020 13:03,Normal
6,1,63,0,0,80,38727,1,64,0,192.168.3.130-200.175.2.130-80-38727-6,192.168.3.130,80,200.175.2.130,38727,6,9/1/2020 16:33,Probe
0,0,-1,0,0,0,0,0,0,0,173.132.250.128-192.168.3.130-0-0-0,173.132.250.128,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,2,80,44225,1,232,0,192.168.3.130-200.175.2.130-80-44225-6,192.168.3.130,80,200.175.2.130,44225,6,9/1/2020 16:31,Probe
17,0,-1,0,3,57876,53,0,24,32,192.168.20.133-192.168.20.2-57876-53-17,192.168.20.133,57876,192.168.20.2,53,17,5/2/2020 14:44,Normal
6,0,0,1,0,36873,8395,0,60,0,192.168.3.130-200.175.2.130-8395-36873-6,200.175.2.130,36873,192.168.3.130,8395,6,9/1/2020 17:32,Probe
6,0,64239,0,1,443,47194,1,20,0,192.168.20.133-35.176.232.241-47194-443-6,35.176.232.241,443,192.168.20.133,47194,6,5/2/2020 12:10,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-204.182.74.201-0-0-0,204.182.74.201,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,0,1,0,38639,9065,0,60,0,192.168.3.130-200.175.2.130-9065-38639-6,200.175.2.130,38639,192.168.3.130,9065,6,9/1/2020 17:32,Probe
6,0,0,1,0,35273,6898,0,60,0,192.168.3.130-200.175.2.130-6898-35273-6,200.175.2.130,35273,192.168.3.130,6898,6,9/1/2020 17:32,Probe
0,0,-1,0,0,0,0,0,0,0,150.96.244.61-192.168.3.130-0-0-0,150.96.244.61,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-48.128.83.212-0-0-0,48.128.83.212,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,215,1,1,38595,80,0,144,0,192.168.3.130-200.175.2.130-80-38595-6,200.175.2.130,38595,192.168.3.130,80,6,9/1/2020 16:29,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-39.121.60.84-0-0-0,39.121.60.84,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,215,1,1,46122,80,0,144,0,192.168.3.130-200.175.2.130-80-46122-6,200.175.2.130,46122,192.168.3.130,80,6,9/1/2020 16:31,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-28.208.119.123-0-0-0,28.208.119.123,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,42515,0,1,40048,443,1,20,0,192.168.20.133-193.0.160.129-40048-443-6,192.168.20.133,40048,193.0.160.129,443,6,4/2/2020 18:26,Normal
17,0,-1,0,3,50282,53,0,24,33,192.168.20.133-192.168.20.2-50282-53-17,192.168.20.133,50282,192.168.20.2,53,17,5/2/2020 14:51,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-77.126.75.66-0-0-0,77.126.75.66,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,185.24.181.120-192.168.3.130-0-0-0,185.24.181.120,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,2,80,34829,1,232,0,192.168.3.130-200.175.2.130-80-34829-6,192.168.3.130,80,200.175.2.130,34829,6,9/1/2020 16:31,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-7.199.143.83-0-0-0,7.199.143.83,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-8.164.187.64-0-0-0,8.164.187.64,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,0,1,0,40667,3232,0,60,0,192.168.3.130-200.175.2.130-3232-40667-6,200.175.2.130,40667,192.168.3.130,3232,6,9/1/2020 17:32,Probe
6,0,64239,0,0,57398,80,1,40,0,192.168.20.133-104.18.43.217-57398-80-6,192.168.20.133,57398,104.18.43.217,80,6,5/2/2020 12:08,Normal
6,0,64240,0,0,443,47554,1,20,0,192.168.20.133-74.125.193.154-47554-443-6,74.125.193.154,443,192.168.20.133,47554,6,5/2/2020 19:19,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-47.37.99.145-0-0-0,47.37.99.145,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
17,0,-1,0,3,52092,53,0,24,32,192.168.20.133-192.168.20.2-52092-53-17,192.168.20.133,52092,192.168.20.2,53,17,5/2/2020 13:18,Normal
6,1,63,0,2,80,46141,1,232,0,192.168.3.130-200.175.2.130-80-46141-6,192.168.3.130,80,200.175.2.130,46141,6,9/1/2020 16:29,Probe
6,0,64240,0,0,443,35928,1,20,0,192.168.20.133-74.125.193.132-35928-443-6,74.125.193.132,443,192.168.20.133,35928,6,4/2/2020 12:33,Normal
6,0,64240,0,1,443,38876,1,20,0,192.168.20.133-23.56.184.239-38876-443-6,23.56.184.239,443,192.168.20.133,38876,6,5/2/2020 13:42,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-74.5.194.10-0-0-0,74.5.194.10,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,47072,53,0,24,42,192.168.20.133-192.168.20.2-47072-53-17,192.168.20.133,47072,192.168.20.2,53,17,7/2/2020 15:11,Normal
0,0,-1,0,0,0,0,0,0,0,182.184.251.252-192.168.3.130-0-0-0,182.184.251.252,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,64240,1,1,56758,443,0,404,0,185.127.17.56-192.168.20.133-443-56758-6,192.168.20.133,56758,185.127.17.56,443,6,5/2/2020 14:18,Normal
0,0,-1,0,0,0,0,0,0,0,148.242.120.161-192.168.3.130-0-0-0,148.242.120.161,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,1,63,0,2,80,41889,1,232,0,192.168.3.130-200.175.2.130-80-41889-6,192.168.3.130,80,200.175.2.130,41889,6,9/1/2020 16:29,Probe
17,0,-1,0,3,38408,53,0,24,34,192.168.20.133-192.168.20.2-38408-53-17,192.168.20.133,38408,192.168.20.2,53,17,5/2/2020 12:25,Normal
6,0,215,1,1,44521,80,0,144,0,192.168.3.130-200.175.2.130-80-44521-6,200.175.2.130,44521,192.168.3.130,80,6,9/1/2020 16:29,Probe
6,0,64240,0,1,39840,443,1,180,0,192.168.20.133-74.125.193.95-39840-443-6,192.168.20.133,39840,74.125.193.95,443,6,5/2/2020 12:29,Normal
17,0,-1,0,3,36110,53,0,24,40,192.168.20.133-192.168.20.2-36110-53-17,192.168.20.133,36110,192.168.20.2,53,17,4/2/2020 18:29,Normal
6,0,64240,0,1,37458,443,1,1620,0,192.168.20.133-74.125.193.136-37458-443-6,192.168.20.133,37458,74.125.193.136,443,6,7/2/2020 15:33,Normal
6,0,0,0,1,443,58108,1,40,0,185.127.17.56-192.168.20.133-443-58108-6,185.127.17.56,443,192.168.20.133,58108,6,5/2/2020 14:27,Normal
6,1,63,0,2,80,41341,1,232,0,192.168.3.130-200.175.2.130-80-41341-6,192.168.3.130,80,200.175.2.130,41341,6,9/1/2020 16:30,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-124.64.170.41-0-0-0,124.64.170.41,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,59484,53,0,24,45,192.168.20.133-192.168.20.2-59484-53-17,192.168.20.133,59484,192.168.20.2,53,17,5/2/2020 13:33,Normal
6,0,64240,1,1,60916,443,0,364,0,192.168.20.133-99.86.122.96-60916-443-6,192.168.20.133,60916,99.86.122.96,443,6,4/2/2020 18:24,Normal
6,0,65535,0,1,443,52574,1,600,0,192.168.20.133-74.125.193.189-52574-443-6,74.125.193.189,443,192.168.20.133,52574,6,5/2/2020 14:59,Normal
6,1,63,0,2,80,35841,1,232,0,192.168.3.130-200.175.2.130-80-35841-6,192.168.3.130,80,200.175.2.130,35841,6,9/1/2020 16:30,Probe
6,0,215,1,1,41965,80,0,144,0,192.168.3.130-200.175.2.130-80-41965-6,200.175.2.130,41965,192.168.3.130,80,6,9/1/2020 16:30,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-96.30.7.71-0-0-0,96.30.7.71,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-8.245.129.186-0-0-0,8.245.129.186,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,0,0,1,443,57666,1,160,0,185.127.17.56-192.168.20.133-443-57666-6,185.127.17.56,443,192.168.20.133,57666,6,5/2/2020 14:24,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-85.241.165.217-0-0-0,85.241.165.217,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,129.22.66.1-192.168.3.130-0-0-0,129.22.66.1,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,64240,1,0,45108,443,0,3524,0,192.168.20.133-50.19.71.246-45108-443-6,192.168.20.133,45108,50.19.71.246,443,6,5/2/2020 13:31,Normal
6,0,64240,1,1,57996,443,0,444,0,192.168.20.133-74.125.193.95-57996-443-6,192.168.20.133,57996,74.125.193.95,443,6,4/2/2020 12:41,Normal
6,1,63,0,0,80,46606,1,64,0,192.168.3.130-200.175.2.130-80-46606-6,192.168.3.130,80,200.175.2.130,46606,6,9/1/2020 16:33,Probe
6,0,0,1,0,43881,1410,0,60,0,192.168.3.130-200.175.2.130-1410-43881-6,200.175.2.130,43881,192.168.3.130,1410,6,9/1/2020 17:32,Probe
6,0,215,1,1,34041,80,0,144,0,192.168.3.130-200.175.2.130-80-34041-6,200.175.2.130,34041,192.168.3.130,80,6,9/1/2020 16:30,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-44.183.29.152-0-0-0,44.183.29.152,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-66.68.216.107-0-0-0,66.68.216.107,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,0,80,39262,1,64,0,192.168.3.130-200.175.2.130-80-39262-6,192.168.3.130,80,200.175.2.130,39262,6,9/1/2020 16:32,Probe
0,0,-1,0,0,0,0,0,0,0,165.208.140.49-192.168.3.130-0-0-0,165.208.140.49,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,57315,53,0,24,46,192.168.20.133-192.168.20.2-57315-53-17,192.168.20.133,57315,192.168.20.2,53,17,4/2/2020 12:33,Normal
6,1,63,0,2,80,34227,1,232,0,192.168.3.130-200.175.2.130-80-34227-6,192.168.3.130,80,200.175.2.130,34227,6,9/1/2020 16:29,Probe
6,1,63,0,2,80,41343,1,232,0,192.168.3.130-200.175.2.130-80-41343-6,192.168.3.130,80,200.175.2.130,41343,6,9/1/2020 16:30,Probe
6,0,64240,0,1,58148,443,1,180,0,192.168.20.133-74.125.193.94-58148-443-6,192.168.20.133,58148,74.125.193.94,443,6,7/2/2020 16:06,Normal
6,0,64240,1,1,60900,443,0,804,0,185.127.17.56-192.168.20.133-443-60900-6,192.168.20.133,60900,185.127.17.56,443,6,5/2/2020 14:50,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-10.148.97.131-0-0-0,10.148.97.131,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,0,80,45693,1,64,0,192.168.3.130-200.175.2.130-80-45693-6,192.168.3.130,80,200.175.2.130,45693,6,9/1/2020 16:32,Probe
17,0,-1,0,3,45379,53,0,24,45,192.168.20.133-192.168.20.2-45379-53-17,192.168.20.133,45379,192.168.20.2,53,17,5/2/2020 14:16,Normal
0,0,-1,0,0,0,0,0,0,0,181.81.36.225-192.168.3.130-0-0-0,181.81.36.225,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,2,80,44771,1,232,0,192.168.3.130-200.175.2.130-80-44771-6,192.168.3.130,80,200.175.2.130,44771,6,9/1/2020 16:30,Probe
6,0,37960,0,1,54580,443,1,20,0,192.168.20.133-31.13.73.18-54580-443-6,192.168.20.133,54580,31.13.73.18,443,6,7/2/2020 14:11,Normal
0,0,-1,0,0,0,0,0,0,0,191.173.151.234-192.168.3.130-0-0-0,191.173.151.234,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-200.38.164.138-0-0-0,200.38.164.138,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-4.97.126.73-0-0-0,4.97.126.73,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,146.191.2.19-192.168.3.130-0-0-0,146.191.2.19,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,64240,1,0,45438,443,0,404,0,192.168.20.133-74.214.194.133-45438-443-6,192.168.20.133,45438,74.214.194.133,443,6,5/2/2020 12:03,Normal
0,0,-1,0,0,0,0,0,0,0,182.154.18.85-192.168.3.130-0-0-0,182.154.18.85,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-30.59.142.79-0-0-0,30.59.142.79,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,130.135.107.234-192.168.3.130-0-0-0,130.135.107.234,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,0,80,33855,1,64,0,192.168.3.130-200.175.2.130-80-33855-6,192.168.3.130,80,200.175.2.130,33855,6,9/1/2020 16:33,Probe
6,1,63,0,2,80,42039,1,232,0,192.168.3.130-200.175.2.130-80-42039-6,192.168.3.130,80,200.175.2.130,42039,6,9/1/2020 16:31,Probe
6,1,63,0,2,80,39149,1,232,0,192.168.3.130-200.175.2.130-80-39149-6,192.168.3.130,80,200.175.2.130,39149,6,9/1/2020 16:32,Probe
6,0,0,0,1,443,32898,1,160,0,185.127.17.56-192.168.20.133-443-32898-6,185.127.17.56,443,192.168.20.133,32898,6,5/2/2020 14:53,Normal
6,0,215,1,1,40793,80,0,144,0,192.168.3.130-200.175.2.130-80-40793-6,200.175.2.130,40793,192.168.3.130,80,6,9/1/2020 16:29,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-16.200.24.135-0-0-0,16.200.24.135,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,64240,1,1,57964,443,0,484,0,185.127.17.56-192.168.20.133-443-57964-6,192.168.20.133,57964,185.127.17.56,443,6,5/2/2020 14:26,Normal
6,0,0,1,0,38975,6837,0,60,0,192.168.3.130-200.175.2.130-6837-38975-6,200.175.2.130,38975,192.168.3.130,6837,6,9/1/2020 17:32,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-59.234.93.13-0-0-0,59.234.93.13,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,0,0,1,443,54708,1,40,0,185.127.17.56-192.168.20.133-443-54708-6,185.127.17.56,443,192.168.20.133,54708,6,5/2/2020 14:02,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-204.194.222.126-0-0-0,204.194.222.126,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,64240,0,1,52976,443,1,80,0,192.168.20.133-209.85.203.148-52976-443-6,192.168.20.133,52976,209.85.203.148,443,6,7/2/2020 13:53,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-86.189.199.185-0-0-0,86.189.199.185,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,47942,53,0,24,34,192.168.20.133-192.168.20.2-47942-53-17,192.168.20.133,47942,192.168.20.2,53,17,7/2/2020 13:56,Normal
0,0,-1,0,0,0,0,0,0,0,170.80.113.84-192.168.3.130-0-0-0,170.80.113.84,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,215,1,1,43587,80,0,144,0,192.168.3.130-200.175.2.130-80-43587-6,200.175.2.130,43587,192.168.3.130,80,6,9/1/2020 16:29,Probe
6,1,30016,0,2,443,47912,1,40,0,192.168.20.133-74.125.193.101-47912-443-6,74.125.193.101,443,192.168.20.133,47912,6,5/2/2020 13:31,Normal
6,1,63,0,2,80,36567,1,232,0,192.168.3.130-200.175.2.130-80-36567-6,192.168.3.130,80,200.175.2.130,36567,6,9/1/2020 16:31,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-119.137.204.189-0-0-0,119.137.204.189,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,57154,53,0,24,44,192.168.20.133-192.168.20.2-57154-53-17,192.168.20.133,57154,192.168.20.2,53,17,5/2/2020 13:35,Normal
6,1,63,0,0,80,39617,1,64,0,192.168.3.130-200.175.2.130-80-39617-6,192.168.3.130,80,200.175.2.130,39617,6,9/1/2020 16:33,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-46.216.70.83-0-0-0,46.216.70.83,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-126.1.177.137-0-0-0,126.1.177.137,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,0,51820,53,0,16,0,192.168.20.133-192.168.20.2-51820-53-17,192.168.20.133,51820,192.168.20.2,53,17,7/2/2020 17:50,Normal
6,0,215,1,1,35998,80,0,144,0,192.168.3.130-200.175.2.130-80-35998-6,200.175.2.130,35998,192.168.3.130,80,6,9/1/2020 16:32,Probe
6,1,63,0,0,80,44297,1,64,0,192.168.3.130-200.175.2.130-80-44297-6,192.168.3.130,80,200.175.2.130,44297,6,9/1/2020 16:33,Probe
6,0,64240,1,1,55284,443,0,404,0,192.168.20.133-72.251.249.13-55284-443-6,192.168.20.133,55284,72.251.249.13,443,6,5/2/2020 14:56,Normal
6,0,64240,0,1,443,51780,1,20,0,192.168.20.133-74.125.168.10-51780-443-6,74.125.168.10,443,192.168.20.133,51780,6,7/2/2020 18:44,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-75.237.236.1-0-0-0,75.237.236.1,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,57399,53,0,24,34,192.168.20.133-192.168.20.2-57399-53-17,192.168.20.133,57399,192.168.20.2,53,17,5/2/2020 13:59,Normal
17,0,-1,0,3,37548,53,0,24,33,192.168.20.133-192.168.20.2-37548-53-17,192.168.20.133,37548,192.168.20.2,53,17,5/2/2020 13:06,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-93.3.74.235-0-0-0,93.3.74.235,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,64240,1,1,34514,443,0,564,0,192.168.20.133-72.251.249.13-34514-443-6,192.168.20.133,34514,72.251.249.13,443,6,5/2/2020 12:03,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-71.162.123.2-0-0-0,71.162.123.2,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-22.221.115.188-0-0-0,22.221.115.188,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,150.3.74.89-192.168.3.130-0-0-0,150.3.74.89,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,64240,1,1,33028,80,0,344,0,192.168.20.133-93.184.220.29-33028-80-6,192.168.20.133,33028,93.184.220.29,80,6,4/2/2020 18:20,Normal
0,0,-1,0,0,0,0,0,0,0,139.154.222.2-192.168.3.130-0-0-0,139.154.222.2,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,36821,53,0,24,51,192.168.20.133-192.168.20.2-36821-53-17,192.168.20.133,36821,192.168.20.2,53,17,7/2/2020 13:52,Normal
17,0,-1,0,3,36996,53,0,24,42,192.168.20.133-192.168.20.2-36996-53-17,192.168.20.133,36996,192.168.20.2,53,17,7/2/2020 15:32,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-61.5.196.164-0-0-0,61.5.196.164,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
