Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.130-200.175.2.130-80-37228-6,192.168.3.130,80,200.175.2.130,37228,6,9/1/2020 16:33,12385,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,161.4856681,12385.0,0.0,12385.0,12385.0,0.0,0.0,0.0,0.0,0.0,12385.0,12385.0,0.0,12385.0,12385.0,0,0,0,0,0,64,0.0,161.4856681,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.20.133-74.125.193.189-41980-443-6,192.168.20.133,41980,74.125.193.189,443,6,5/2/2020 13:34,108524455,18,20,828.0,2117.0,371,0,46.0,118.0752502,872,0,105.85,189.1469145,27.13674075,0.350151494,2933093.378,7101331.777000002,27100000.0,-27.0,109000000.0,6383790.176,9491086.924,27100000.0,10.0,109000000.0,5711742.0,9176172.259,27100000.0,5.0,0,1,0,0,360,400,0.165861234,0.18429026,0,872,77.02564103,158.1998215,25027.18354,0,0,0,1,1,0,0,0,1,79.05263158,46.0,105.85,0,0,0,0,0,0,18,828,20,2117,-1,64240,4,0,1446728.4,2143046.812,5096146.0,17.0,19000000.0,8330940.74,27100000.0,5041631.0,Normal
192.168.3.130-28.160.132.207-0-0-0,28.160.132.207,0,192.168.3.130,0,0,10/1/2020 5:57,17,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,117647.0588,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0.0,117647.0588,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.20.133-192.168.20.2-38173-53-17,192.168.20.133,38173,192.168.20.2,53,17,7/2/2020 14:57,4468,1,3,36.0,636.0,36,36,36.0,0.0,477,36,212.0,233.5829617,150402.8648,895.2551477,1489.333333,2380.173173,4237.0,61.0,0.0,0.0,0.0,0.0,0.0,4468.0,2234.0,2918.936793,4298.0,170.0,0,0,0,0,8,24,223.8137869,671.4413607999999,36,477,141.6,191.24147040000005,36573.3,0,0,0,0,0,0,0,0,3,177.0,36.0,212.0,0,0,0,0,0,0,1,36,3,636,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
177.21.160.244-192.168.3.130-0-0-0,177.21.160.244,0,192.168.3.130,0,0,10/1/2020 5:57,51,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,51.0,51.0,0,0,0,0,0,0,0.0,39215.68627,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-200.175.2.130-80-37274-6,192.168.3.130,80,200.175.2.130,37274,6,9/1/2020 16:32,11525,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,173.5357918,11525.0,0.0,11525.0,11525.0,0.0,0.0,0.0,0.0,0.0,11525.0,11525.0,0.0,11525.0,11525.0,0,0,0,0,0,64,0.0,173.5357918,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-33.121.239.73-0-0-0,33.121.239.73,0,192.168.3.130,0,0,10/1/2020 5:56,19,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105263.1579,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0.0,105263.1579,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-200.175.2.130-4062-41019-6,200.175.2.130,41019,192.168.3.130,4062,6,9/1/2020 17:32,6,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.3333,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,60,0.0,333333.3333,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-120.115.68.200-0-0-0,120.115.68.200,0,192.168.3.130,0,0,10/1/2020 5:57,28,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,71428.57143,28.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0.0,71428.57143,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-103.197.130.31-0-0-0,103.197.130.31,0,192.168.3.130,0,0,10/1/2020 5:57,35,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,57142.85714,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0.0,57142.85714,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.20.133-192.168.20.2-59011-53-17,192.168.20.133,59011,192.168.20.2,53,17,5/2/2020 12:54,2996,1,3,34.0,690.0,34,34,34.0,0.0,334,34,230.0,169.84698999999995,241655.5407,1335.113485,998.6666667000004,969.7759191,2008.0,74.0,0.0,0.0,0.0,0.0,0.0,2996.0,1498.0,825.9007204,2082.0,914.0,0,0,0,0,8,24,333.7783712,1001.335113,34,334,151.6,161.0863123,25948.8,0,0,0,0,0,0,0,0,3,189.5,34.0,230.0,0,0,0,0,0,0,1,34,3,690,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.133-192.168.20.2-59620-53-17,192.168.20.133,59620,192.168.20.2,53,17,5/2/2020 14:18,30142,1,3,32.0,559.0,32,32,32.0,0.0,438,32,186.3333333,219.8052168,19607.19262,132.7051954,10047.33333,17229.290240000002,29942.0,89.0,0.0,0.0,0.0,0.0,0.0,30142.0,15071.0,21156.63489,30031.0,111.0,0,0,0,0,8,24,33.17629885,99.52889656,32,438,124.6,176.9259732,31302.8,0,0,0,0,0,0,0,0,3,155.75,32.0,186.3333333,0,0,0,0,0,0,1,32,3,559,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.3.130-200.175.2.130-2012-19174-6,200.175.2.130,19174,192.168.3.130,2012,6,9/1/2020 17:50,15,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,133333.3333,15.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,40,0.0,133333.3333,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-200.175.2.130-80-34173-6,192.168.3.130,80,200.175.2.130,34173,6,9/1/2020 16:32,70530,3,7,30.0,30.0,30,0,10.0,17.32050808,30,0,4.285714286,11.33893419,850.7018289999999,141.78363819999998,7836.666667,8077.090318,20381.0,12.0,26723.0,13361.5,18736.20838,26610.0,113.0,70530.0,11755.0,7066.726965000001,20413.0,1295.0,0,0,0,0,104,232,42.53509145,99.24854672,0,30,5.454545455,12.13559752,147.2727273,1,0,0,0,1,0,0,0,2,6.0,10.0,4.285714286,0,0,0,0,0,0,3,30,7,30,-1,63,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-200.175.2.130-317-4770-6,200.175.2.130,4770,192.168.3.130,317,6,9/1/2020 17:35,12,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,166666.6667,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,0,40,0.0,166666.6667,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.20.133-74.125.168.10-51434-443-6,74.125.168.10,443,192.168.20.133,51434,6,7/2/2020 17:25,3,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.3.130-200.175.2.130-80-45722-6,192.168.3.130,80,200.175.2.130,45722,6,9/1/2020 16:33,8256,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,242.248062,8256.0,0.0,8256.0,8256.0,0.0,0.0,0.0,0.0,0.0,8256.0,8256.0,0.0,8256.0,8256.0,0,0,0,0,0,64,0.0,242.248062,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.20.133-192.168.20.2-57886-53-17,192.168.20.133,57886,192.168.20.2,53,17,7/2/2020 17:20,3537,1,3,34.0,690.0,34,34,34.0,0.0,334,34,230.0,169.84698999999995,204693.2429,1130.901894,1179.0,1578.859082,2989.0,85.0,0.0,0.0,0.0,0.0,0.0,3537.0,1768.5,1846.255806,3074.0,463.0,0,0,0,0,8,24,282.7254736,848.1764207,34,334,151.6,161.0863123,25948.8,0,0,0,0,0,0,0,0,3,189.5,34.0,230.0,0,0,0,0,0,0,1,34,3,690,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.3.130-200.175.2.130-80-46735-6,200.175.2.130,46735,192.168.3.130,80,6,9/1/2020 16:29,4119,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,14566.64239,1942.218985,588.4285714,762.1088848999999,1873.0,9.0,2640.0,880.0,991.6566946,2017.0,194.0,1817.0,605.6666667000001,928.1429488,1675.0,9.0,0,0,0,0,128,144,971.1094926,971.1094926,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,0,0,1,7.5,7.5,7.5,0,0,0,0,0,0,4,30,4,30,-1,215,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-200.175.2.130-6664-46179-6,200.175.2.130,46179,192.168.3.130,6664,6,9/1/2020 17:32,6,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.3333,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,60,0.0,333333.3333,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-200.175.2.130-80-40550-6,192.168.3.130,80,200.175.2.130,40550,6,9/1/2020 16:31,44377619,3,7,30.0,30.0,30,0,10.0,17.32050808,30,0,4.285714286,11.33893419,1.352032879,0.225338813,4930846.556,14800000.0,44300000.0,5.0,17418.0,8709.0,11846.86701,17086.0,332.0,44400000.0,7396269.833,18100000.0,44300000.0,7454.0,0,0,0,0,104,232,0.067601644,0.157737169,0,30,5.454545455,12.13559752,147.2727273,1,0,0,0,1,0,0,0,2,6.0,10.0,4.285714286,0,0,0,0,0,0,3,30,7,30,-1,63,1,0,25250.0,0.0,25250.0,25250.0,44300000.0,0.0,44300000.0,44300000.0,Probe
192.168.20.133-74.125.193.100-48518-443-6,74.125.193.100,443,192.168.20.133,48518,6,4/2/2020 18:19,3304,3,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1210.6537529999998,1101.333333,1370.289872,2679.0,208.0,2887.0,1443.5,1747.260856,2679.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,907.9903148,302.6634383,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.129-192.168.20.2-55668-53-17,192.168.20.2,53,192.168.20.129,55668,17,7/2/2020 13:57,116,1,1,95.0,178.0,95,95,95.0,0.0,178,178,178.0,0.0,2353448.276,17241.37931,116.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,8620.689655,8620.689655,95,178,150.33333330000005,47.92007234,2296.333333,0,0,0,0,0,0,0,0,1,225.5,95.0,178.0,0,0,0,0,0,0,1,95,1,178,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.133-74.214.194.134-38250-443-6,74.214.194.134,443,192.168.20.133,38250,6,5/2/2020 13:22,21396,3,2,31.0,0.0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,1448.8689470000004,233.6885399,5349.0,10566.83923,21199.0,20.0,21350.0,10675.0,14883.183530000002,21199.0,151.0,21396.0,21396.0,0.0,21396.0,21396.0,0,0,0,0,60,40,140.2131239,93.47541597,0,31,5.166666667,12.655697,160.16666669999995,0,0,0,0,1,0,0,0,0,6.2,10.33333333,0.0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.3.130-200.175.2.130-80-40573-6,192.168.3.130,80,200.175.2.130,40573,6,9/1/2020 16:30,62328475,3,7,30.0,30.0,30,0,10.0,17.32050808,30,0,4.285714286,11.33893419,0.962641874,0.160440312,6925386.1110000005,20800000.0,62300000.0,8.0,2333.0,1166.5,1471.489212,2207.0,126.0,62300000.0,10400000.0,25400000.0,62300000.0,79.0,0,0,0,0,104,232,0.048132094,0.112308219,0,30,5.454545455,12.13559752,147.2727273,1,0,0,0,1,0,0,0,2,6.0,10.0,4.285714286,0,0,0,0,0,0,3,30,7,30,-1,63,1,0,1396.0,0.0,1396.0,1396.0,62300000.0,0.0,62300000.0,62300000.0,Probe
174.10.110.19-192.168.3.130-0-0-0,174.10.110.19,0,192.168.3.130,0,0,10/1/2020 5:56,57,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35087.7193,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0.0,35087.7193,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-103.174.90.145-0-0-0,103.174.90.145,0,192.168.3.130,0,0,10/1/2020 5:57,17,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,117647.0588,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0.0,117647.0588,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-200.175.2.130-80-43476-6,200.175.2.130,43476,192.168.3.130,80,6,9/1/2020 16:31,7025,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,8540.925267,1138.790036,1003.571429,1664.599637,4457.0,10.0,2558.0,852.6666667000002,1066.805668,2062.0,45.0,4682.0,1560.666667,2557.880829,4513.0,10.0,0,0,0,0,128,144,569.3950177999999,569.3950177999999,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,0,0,1,7.5,7.5,7.5,0,0,0,0,0,0,4,30,4,30,-1,215,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
160.208.164.252-192.168.3.130-0-0-0,160.208.164.252,0,192.168.3.130,0,0,10/1/2020 5:57,22,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,22.0,22.0,0,0,0,0,0,0,0.0,90909.09091,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
